TIMESTAMP,NAME,PROPERTY,ACTUAL,COMPANYTYPE,FUELTYPE,FUELTHAINAME,FUELENGNAME
2024-01-30T00:00:00,GLOW-C1,Consumption(Oil) (ML),0.0,IPP,DIESEL,น้ำมันดีเซล,Diesel Oil
2024-01-30T00:00:00,GLOW-C2,Weight from PTT Reading (MMSCF),0.0,IPP,GAS,ก๊าซธรรมชาติฝั่งตะวันออก,Eastern Natural Gas
2024-01-30T00:00:00,GLOW-C2,Consumption(Oil) (ML),0.0,IPP,DIESEL,น้ำมันดีเซล,Diesel Oil
2024-01-30T00:00:00,BB      BB-P8,Release (MCM),0.0,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,SNR     SNR-P4,Release (MCM),0.0,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,SNR     SNR-P5,Release (MCM),0.0,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,LTK     LTK-P1,Release (MCM),0.0,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,KPG-C1,Weight from PTT Reading (MMSCF),0.0,IPP,GAS,ก๊าซธรรมชาติฝั่งตะวันออก,Eastern Natural Gas
2024-01-30T00:00:00,KPG-C1,Consumption(Oil) (ML),0.0,IPP,DIESEL,น้ำมันดีเซล,Diesel Oil
2024-01-30T00:00:00,KPG-C2,Weight from PTT Reading (MMSCF),0.0,IPP,GAS,ก๊าซธรรมชาติฝั่งตะวันออก,Eastern Natural Gas
2024-01-30T00:00:00,KPG-C2,Consumption(Oil) (ML),0.0,IPP,DIESEL,น้ำมันดีเซล,Diesel Oil
2024-01-30T00:00:00,BLCP-T1,Consumption(Coal) (Ton),5855.35,IPP,COAL,ถ่านหิน,Coal
2024-01-30T00:00:00,BLCP-T2,Consumption(Coal) (Ton),5762.96,IPP,COAL,ถ่านหิน,Coal
2024-01-30T00:00:00,BPK-T3,Weight from PTT Reading (MMSCF),0.0,EGAT,GAS,ก๊าซธรรมชาติฝั่งตะวันออก,Eastern Natural Gas
2024-01-30T00:00:00,BPK-T3,Consumption(Oil) (ML),0.0,EGAT,BUNKER OIL,น้ำมันเตา กำมะถัน 2 %,2% BUNKER OIL
2024-01-30T00:00:00,BPK-T3,Consumption(Oil) (ML),0.0,EGAT,BUNKER OIL,น้ำมันเตา กำมะถัน 0.5 %,0.5% BUNKER OIL
2024-01-30T00:00:00,BPK-T3,Consumption(Oil) (ML),0.0,EGAT,DIESEL,น้ำมันดีเซล,Diesel Oil
2024-01-30T00:00:00,BPK-T3,Consumption(Oil) (ML),0.0,EGAT,PALM OIL,น้ำมันปาล์ม,Palm Oil
2024-01-30T00:00:00,BPK-T4,Weight from PTT Reading (MMSCF),0.0,EGAT,GAS,ก๊าซธรรมชาติฝั่งตะวันออก,Eastern Natural Gas
2024-01-30T00:00:00,BPK-T4,Consumption(Oil) (ML),0.0,EGAT,BUNKER OIL,น้ำมันเตา กำมะถัน 2 %,2% BUNKER OIL
2024-01-30T00:00:00,BPK-T4,Consumption(Oil) (ML),0.0,EGAT,BUNKER OIL,น้ำมันเตา กำมะถัน 0.5 %,0.5% BUNKER OIL
2024-01-30T00:00:00,BPK-T4,Consumption(Oil) (ML),0.0,EGAT,DIESEL,น้ำมันดีเซล,Diesel Oil
2024-01-30T00:00:00,MM-T14,Consumption(Coal) (Ton),0.0,EGAT,COAL,ถ่านหิน,Coal
2024-01-30T00:00:00,MM-T14,Consumption(Oil) (ML),0.0,EGAT,DIESEL,น้ำมันดีเซล,Diesel Oil
2024-01-30T00:00:00,MM-T4,Consumption(Coal) (Ton),2420.0,EGAT,COAL,ถ่านหิน,Coal
2024-01-30T00:00:00,MM-T4,Consumption(Oil) (ML),0.0,EGAT,DIESEL,น้ำมันดีเซล,Diesel Oil
2024-01-30T00:00:00,MM-T8,Consumption(Coal) (Ton),5227.0,EGAT,COAL,ถ่านหิน,Coal
2024-01-30T00:00:00,MM-T8,Consumption(Oil) (ML),0.0,EGAT,DIESEL,น้ำมันดีเซล,Diesel Oil
2024-01-30T00:00:00,MM-T9,Consumption(Coal) (Ton),0.0,EGAT,COAL,ถ่านหิน,Coal
2024-01-30T00:00:00,MM-T9,Consumption(Oil) (ML),0.0,EGAT,DIESEL,น้ำมันดีเซล,Diesel Oil
2024-01-30T00:00:00,MM-T10,Consumption(Coal) (Ton),5305.0,EGAT,COAL,ถ่านหิน,Coal
2024-01-30T00:00:00,MM-T10,Consumption(Oil) (ML),0.0,EGAT,DIESEL,น้ำมันดีเซล,Diesel Oil
2024-01-30T00:00:00,MM-T11,Consumption(Coal) (Ton),5326.0,EGAT,COAL,ถ่านหิน,Coal
2024-01-30T00:00:00,MM-T11,Consumption(Oil) (ML),0.0,EGAT,DIESEL,น้ำมันดีเซล,Diesel Oil
2024-01-30T00:00:00,MM-T12,Consumption(Coal) (Ton),0.0,EGAT,COAL,ถ่านหิน,Coal
2024-01-30T00:00:00,MM-T12,Consumption(Oil) (ML),0.0,EGAT,DIESEL,น้ำมันดีเซล,Diesel Oil
2024-01-30T00:00:00,MM-T13,Consumption(Coal) (Ton),5443.0,EGAT,COAL,ถ่านหิน,Coal
2024-01-30T00:00:00,MM-T13,Consumption(Oil) (ML),0.0,EGAT,DIESEL,น้ำมันดีเซล,Diesel Oil
2024-01-30T00:00:00,LTK     LTK-P2,Release (MCM),-0.078,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,KA-T1,Consumption(Oil) (ML),0.0,EGAT,BUNKER OIL,น้ำมันเตา กำมะถัน 0.5 %,0.5% BUNKER OIL
2024-01-30T00:00:00,KA-T1,Consumption(Oil) (ML),0.0,EGAT,DIESEL,น้ำมันดีเซล,Diesel Oil
2024-01-30T00:00:00,KA-T1,Consumption(Oil) (ML),0.0,EGAT,PALM OIL,น้ำมันปาล์ม,Palm Oil
2024-01-30T00:00:00,RPCL-C1,Weight from PTT Reading (MMSCF),0.0,IPP,GAS,ก๊าซธรรมชาติฝั่งตะวันตก,Western Natural Gas
2024-01-30T00:00:00,RPCL-C1,Consumption(Oil) (ML),0.0,IPP,DIESEL,น้ำมันดีเซล,Diesel Oil
2024-01-30T00:00:00,RPCL-C2,Weight from PTT Reading (MMSCF),0.0,IPP,GAS,ก๊าซธรรมชาติฝั่งตะวันตก,Western Natural Gas
2024-01-30T00:00:00,RPCL-C2,Consumption(Oil) (ML),0.0,IPP,DIESEL,น้ำมันดีเซล,Diesel Oil
2024-01-30T00:00:00,CHN-C1,Weight from PTT Reading (MMSCF),24.085361,EGAT,GAS,ก๊าซธรรมชาติ JDA,JDA Gas
2024-01-30T00:00:00,CHN-C1,Consumption(Oil) (ML),0.0,EGAT,DIESEL,น้ำมันดีเซล,Diesel Oil
2024-01-30T00:00:00,SB-C3,Weight from PTT Reading (MMSCF),0.0,EGAT,GAS,ก๊าซธรรมชาติฝั่งตะวันออก,Eastern Natural Gas
2024-01-30T00:00:00,SB-C3,Weight from PTT Reading (MMSCF),0.0,EGAT,GAS,ก๊าซธรรมชาติฝั่งตะวันตก,Western Natural Gas
2024-01-30T00:00:00,SB-C3,Consumption(Oil) (ML),0.0,EGAT,DIESEL,น้ำมันดีเซล,Diesel Oil
2024-01-30T00:00:00,TN-H1,Release (MCM),3.5700000000000003,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,TN-H2,Release (MCM),5.48,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,SNR-H1,Release (MCM),4.36,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,SNR-H2,Release (MCM),3.46,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,SNR-H3,Release (MCM),2.09,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,SNR-H4,Release (MCM),0.0,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,SNR-H5,Release (MCM),0.0,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,BB-H1,Release (MCM),3.5700000000000003,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,BB-H2,Release (MCM),5.08,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,BB-H3,Release (MCM),4.76,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,BB-H4,Release (MCM),4.84,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,BB-H5,Release (MCM),4.59,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,BB-H6,Release (MCM),3.56,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,BKG-H1,Release (MCM),0.0,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,BKG-H2,Release (MCM),0.0,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,BKG-H3,Release (MCM),0.0,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,BLG-H1,Release (MCM),1.58,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,BLG-H2,Release (MCM),0.86,EGAT,HYDRO,น้ำ,Water
2024-01-30T00:00:00,BLG-H3,Release (MCM),1.59,EGAT,HYDRO,น้ำ,Water
